仕事内容,対象となる方,勤務地,給与
仕事内容 【柔軟に休みが調整できる！土日もOK】土地の情報収集から竣工管理まで、プロジェクトマネジメント業務をトータルに行います。※担当エリア：大阪府,対象となる方 【業界経験を活かせる！2～3年後年収1000万円も十分可能(実績多数)】◎学歴不問　◎要普免(AT限定可)　★用地仕入れ未経験の方も歓迎,勤務地 【天六駅から徒歩5分の好立地】 ※2019年に移転したお洒落で快適な自社ビル！ 大阪府大阪市北区菅…,給与 月給23万円以上＋インセンティブ ※経験者は月給30万円〜も可能 年収1000万円超の先輩社員も多数（平均年…
仕事内容 土地をお持ちのオーナー様に対しての「土地活用の提案営業」です。充実の研修・教育体制があるので、未経験からでも全く問題ありません,対象となる方 ◎高卒以上◎未経験・異業種からの転職歓迎します！今よりもっと安定した環境で収入を上げていきたい方,勤務地 ◆全国の各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい…,"給与 月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…"
仕事内容 【100％反響営業！飛び込み・テレアポ・新規開拓なし】自社ブランド住宅のご提案(戸建、資産用など)　★未経験者も安心できるサポート＆教育体制有,対象となる方 【20～30代の社員が中心に活躍中！採用では意欲を重視】◎要普免（AT限定可）◎未経験：35歳まで ◎経験者：不動産業界での営業経験をお持ちの方,勤務地 【天六駅から徒歩5分の好立地】 ※2019年に移転したお洒落で快適な自社ビル！ 大阪府大阪市北区菅…,給与 月給23万円以上＋インセンティブ ※経験者は月給30万円〜も可能 営業社員の平均年収は約800万円（平均年…
仕事内容 【こんな時代だからこそ、お客様の力になる仕事です】当社独自のエネルギーサービス『アース電力・アースガス』をご提案。お客様の経費削減に貢献！,対象となる方 【結果を出してキャリアアップ！！】◇ほとんどが営業未経験 ◇上場企業で働きたい方歓迎 ◇20～30代活躍中！女性も活躍中,勤務地 ■大阪市北区堂島浜2-2-28 堂島アクシスビル2F 【アクセス】 各線大阪・梅田駅から徒歩10分…,給与 ■月給20万円〜30万円＋インセンティブ＋賞与（年2回） ※インセンティブは営業のみ。 ※評価は年1回。…
仕事内容 【“営業＆業界デビュー”を応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪,対象となる方 【未経験歓迎！学歴不問/第二新卒歓迎】★20~30代が中心に活躍中！明るく元気な笑顔で対応できる方を歓迎♪,勤務地 東京都、埼玉県、神奈川県、愛知県、大阪府、北海道、鹿児島県、福岡県、熊本県、京都府、高知県　で積極…,"給与 【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…"
仕事内容 【1年目でも年収1000万円を目指せる！】大手メーカー「Panasonic」「三菱電機」などの大手製品の提案営業 ★売れる仕組みあり ★テレアポ＆ノルマなし,対象となる方 【34歳以下の方限定！会社の中核人材へと成長！】＼面接1回のスピード採用です／ ◇未経験・第二新卒歓迎 ◇学歴不問 ◇要普免(AT限定可),勤務地 【大阪・名古屋で募集！】 ※転勤なし／U・Iターン歓迎 【大阪本社】 大阪府大阪市中央区博労町1-…,給与 ◆月給25万円〜55万円＋諸手当＋インセンティブ 《年収例》 年収1000万円／27歳 経験1年／月給30万円＋…
仕事内容 【OJT研修で業界知識が学べます】■美容医療クリニックのお客様に、提携しているメーカーから輸入した化粧品などを卸す提案営業をお任せします。,対象となる方 【20代～30代活躍中】■営業経験3年以上目安（業界不問）★美容業界・医療業界での営業経験者や、病院の先生と仕事をしたことがある方は歓迎です,勤務地 【本社】 東京都世田谷区経堂2-5-17 KTビル３F ＜アクセス＞ 各線「経堂駅」から徒歩3分…,給与 月給45万円〜60万円 ※経験・スキル等を考慮し当社規定により決定します
仕事内容 【残業ほぼ無し！休日出勤はもちろん無し】◎希望・適性を考慮して外勤または内勤のリサーチ業務をお任せします。未経験でも安心のマニュアル完備！,対象となる方 【学歴・経験・年齢は一切不問】◎稼ぎたい！今までの人生を変えたい！という方 ※元接客業やドライバー、20代～50代まで幅広い年齢の先輩が活躍中！,勤務地 《WEB面接可/希望考慮/転勤なし》 関東/東海/関西/中国/九州の拠点いずれかに配属します ………,給与 月給25万円〜50万円＋報奨金(本数達成賞＋オーダー手当) ★今だけ！入社祝金18万円＋半年間の業績に応じ…
仕事内容 【座学研修やeラーニングなど手厚い研修制度をご用意！】個人・法人のお客さまに向けて、ニーズに寄り添う保険プランのご提案を行います。,対象となる方 【業種・職種ともに未経験の方歓迎！】★業種に関係なく営業経験をお持ちの方もぜひ ★異業種から転職してきた先輩が多数在籍！ ※高卒以上,勤務地 【転勤なし／U・Iターン歓迎】 ■東天満エイジェンシーオフィス 大阪府大阪市北区天満橋1-8-30…,給与 【初任給月給】25万円または30万円 ※初期補給の金額は前年度年収により決定。 個人成績に応じて3ヶ月ご…
仕事内容 【“営業＆業界デビュー”を応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪,対象となる方 【未経験歓迎！第二新卒歓迎】◆高卒以上◆35歳以下の方（※）★20~30代が中心に活躍中！明るく元気な笑顔で対応できる方を歓迎♪,勤務地 東京都、埼玉県、神奈川県、愛知県、大阪府、北海道、鹿児島県、福岡県、熊本県、京都府、高知県　で積極…,"給与 【北海道】 月給210,000円~250,000円＋インセンティブ 【東北】 月給200,000円~300,000円＋インセンティ…"
